polarity	pos	neg	neu	compound	text	username
neutro	0.0	0.055	0.945	-0.296	Xenofobia en #Peru #Ecuador #Chile contra los #Venezolanos y ahora se suma #Mexico con los casos del #aeropuertocancun y #Aruba con visa de turismo. Que somos pues ? Yo no veo tanto odio ni contra los musulmanes que están rayados de terroristas	moro
neutro	0.0	0.0	1.0	0.0	"""noticierovenevision"	Pedro Berra
neutro	0.0	0.0	1.0	0.0	"""RT pichinchauniver: #Exclusiva | Giovanna Tipán, de la Unidad de Movilidad Humana del PichinchaGob estuvo en la frontera de #Ecuador y #Colombia. Te contamos los detalles sobre la situación de los migrantes venezolanos en #Rumichaca"	Joaquín Ramos
neutro	0.0	0.0	1.0	0.0	Migrantes venezolanos que entraron en Ecuador bajaron a 50 diarios https://www.lapatilla.com/2019/08/28/migrantes-venezolanos-que-entraron-en-ecuador-bajaron-a-50-diarios/ …	#Todo por Venezuela#
neutro	0.0	0.128	0.872	-0.296	Q falta de carácter. Xq no decir la verdad:Gringos, cubanos y venezolanos:represores y asesinos por igual.Ecuador tiene camino propio.	Andrés Crespo A
neutro	0.0	0.0	1.0	0.0	Migración Colombia informó que, a menos de 6 horas para que el gobierno ecuatoriano exija visa a población venezolana, todas las personas de esta nacionalidad que se encontraban en el puesto de control en el Puente de Rumichaca ya están en Ecuador → http://bit.ly/2fZ7CkR	BluRadio Colombia
neutro	0.0	0.061	0.939	-0.296	Si eres ciudadano/a #venezolano /a y radicas en #Ecuador, no olvides registrarte en el formulario en línea para que puedas obtener una visa de residencia temporal de excepción por razones humanitarias. Regístrate en: https://registro.migracion.gob.ec/  #MIGRACION #VENEZOLANOS	AVSI Ecuador
neutro	0.0	0.0	1.0	0.0	"""4,200 ingresos a diario: Ecuador declara la emergencia por el masivo flujo de inmigrantes venezolanos."	Univision Noticias
neutro	0.0	0.204	0.796	-0.6249	Alcalde pide ayuda por brutal aumento de migrantes venezolanos que cruzan de Colombia a Ecuador https://www.biobiochile.cl/noticias/internacional/america-latina/2019/08/25/alcalde-pide-ayuda-por-brutal-aumento-de-migrantes-venezolanos-que-cruzan-de-colombia-a-ecuador.shtml … vía @biobio	BotNoticias
neutro	0.0	0.0	1.0	0.0	Si claro , la intervención . Alistemonos a morir en grupos, venezolanos dentro y fuera del país, Colombia, Brasil, Estados unidos , ecuador etc. Y  por parte del desgraciado asesino del maduro, estaría Rusia, Cuba, la guerrilla colombiana , China, Bolivia, Nicaragua etc.	Rubiela
neutro	0.0	0.0	1.0	0.0	#Desesperación | 150 migrantes venezolanos permanecen en Rumichaca esperando cruzar a #Ecuador |Lee más aquí  http://bit.ly/2PJadUJ	CaraotaDigital
neutro	0.0	0.0	1.0	0.0	Si la vida fuera justa, Ecuador debería ganar este partido y los venezolanos tener a Chavez como presidente 20 años más.	Oe Guayaco
neutro	0.0	0.0	1.0	0.0	Debate sobre migración venezolana espera la participación de ONG’s, el Banco Mundial, y cancilleres de Colombia, Perú y Ecuador https://bit.ly/2Jq04qg	Venepress
neutro	0.0	0.0	1.0	0.0	Ayer crucé a pies la frontera de Ecuador con Colombia. Cantidad de desplazados colombianos pero sobretodo venezolanos. Cuadros q rompen el alma, y el trato de la policía de migración sumada a la aversión de mi país a los caminantes venezolanos hace q la cosa se ponga peligrosa	Diego Andrade Armas
neutro	0.0	0.194	0.806	-0.5574	Me gustó un video de @YouTube http://youtu.be/I7f5mbdGDBM?a  (Movimiento sin Mordaza )Venezolanos en Ecuador dicen fuera a Maduro	JEC ❄
neutro	0.161	0.0	0.839	0.4003	¡LAMENTABLE! Al menos 55,2% de los migrantes venezolanos en Ecuador ha sufrido discriminación #25Nov #Venezuelahttp://bit.ly/2XKMCDD	Maduradas.com
neutro	0.0	0.0	1.0	0.0	Venezolanos enfrentan en Ecuador un cerco de xenofobia inducido por el régimen de Maduro https://wp.me/paUDn7-252D pic.twitter.com/wT0PERNf5y	EXTRA VENEZUELA
neutro	0.0	0.0	1.0	0.0	#9Sep Este domingo el defensor del Pueblo de Colombia, Carlos Alfonso Negret, pidió a Ecuador y Perú un corredor humanitario para migrantes venezolanos y calificó de “irrespeto” el cierre de fronteras. Via @EFEnoticias #TVVNoticias #TVVenezuelapic.twitter.com/wZ6qS6mSCE	TVV Noticias
neutro	0.0	0.0	1.0	0.0	Cuba, el imperio del mal, aprovecho la migración venezolana e I filtro a su gente para sembrar el caos en Ecuador, otro caracaso!	Walther
neutro	0.0	0.064	0.936	-0.296	@trafficVARGAS #peru#ecuador#chile#panama#colombia#argentina #republicadominicana x culpa d unos malandros #venezolanos en vez aprovechar las oportunidades que les dan en estos países lo que han hecho es robar delinquir  despues no se quejen de la #xeNOfobia pic.twitter.com/WsgvVT4l9g	ॐC@rl0§
neutro	0.0	0.0	1.0	0.0	[]	"utm_campaign=ReviveOldPost"""" dir=""""ltr"""" href=""""https://t.co/dGUV5zR6Tx"""" rel=""""nofollow noopener"""" target=""""_blank"""" title=""""https://noti-america.com/site/2019/10/19/minga-por-quito-sera-apoyada-por-inmigrantes-venezolanos-mientras-la-xenofobia-laboral-aumenta/?utm_source=ReviveOldPost&amp"
neutro	0.0	0.049	0.951	-0.296	Aquí no es culpa de los venezolanos ni del Ecuador un país muy pequeño recién saliendo de Correa ahora la cantidad de migrantes la Culpa es de Maduro de la pobreza de este País pero el Señor Guaido tiene peor culpa prometió parar esto	Luis Echanique
neutro	0.0	0.0	1.0	0.0	"""Ecuador publica decreto con amnistía y regulación de migración venezolana"	El Pitazo
neutro	0.0	0.0	1.0	0.0	Como hará este sujeto, en el caso hipotético de que Ecuador, Perú, Chile y demás países suramericanos le pidan eventualmente controlar la migración venezolana hacia sus países? Que contestará, necesitamos más plata, siempre dice lo mismo, colaboración y mas colaboración!	Héctor
neutro	0.118	0.0	0.882	0.34	De los países chulos de Venezuela el único q se ha portado bien con inmigrantes venezolanos a sido Ecuador, apoyo reciprocidad	Salgio3000
neutro	0.0	0.0	1.0	0.0	El total de los 11.000 venezolanos pasaron a Ecuador: Migración Colombia https://www.elheraldo.co/colombia/el-total-de-los-11000-venezolanos-pasaron-ecuador-migracion-colombia-660574 …	rojasjeannethe
neutro	0.0	0.0	1.0	0.0	Japón donó 3,2$ millones para alimentos de migrantes venezolanos en Ecuador https://buff.ly/33uZ1MY pic.twitter.com/YSNhaYMJ0q	SuNoticiero
neutro	0.0	0.0	1.0	0.0	La exigencia de un visado para los venezolanos que buscan entrar a Ecuador debe ser revisada, según el director de Migración Colombia, Christian Krüger Sarmiento https://bit.ly/2lyUDMQ pic.twitter.com/tnjq37REf9	Contrapunto
neutro	0.0	0.0	1.0	0.0	"""$30 millones recibió @Lenin por parte de @Plaid_Pompeo. Con los cuales recomiendo al Presiente del Ecuador adecuar centros de salud y escuelas además de refugios autosustentable para la permanecía digna y humana de la migración venezolana en su país."	Carlos Vilma《 CD#30 》
neutro	0.0	0.0	1.0	0.0	#ENMundo Ecuador alimentará a migrantes venezolanos con 3,2 millones dólares donados por Japón http://bit.ly/34q3bXK  pic.twitter.com/8okgVxzvJD	El Nacional
neutro	0.0	0.0	1.0	0.0	"""Ecuador comienza hoy el proceso de censo de los inmigrantes venezolanos https://bit.ly/2m3BvH8"	DolarToday®
neutro	0.103	0.0	0.897	0.6597	Por favor ayuden a los migrantes Venezolanos, si tenemos una visa para chile y vamos por tierra en Ecuador y Perú nos piden visas también solo para ir de tránsito. Por favor cada trámite tarda tiempo y la visa se chile se vence en 90 días, si tenemos visa que nos dejen pasar.	Rafael Vega
neutro	0.0	0.0	1.0	0.0	¿LO CONSIDERARÁN? Migración Colombia pide a Ecuador revisar exigencia de visado a venezolanos #Venezuela #6Sephttp://bit.ly/311EVtm	Maduradas.com
neutro	0.0	0.216	0.784	-0.296	"""Jajaja Por suerte no dijo también """"Longos Feos""""  ..."	decalle
neutro	0.0	0.0	1.0	0.0	Desde este #26Ago: Migrantes venezolanos solo podrán entrar a Ecuador si tienen visa humanitaria y pagan 50 dólares por gestiones http://bit.ly/2HqBfd3 pic.twitter.com/GYsv2TGTKU	Contrapunto
neutro	0.0	0.145	0.855	-0.296	Activista venezolana Lilian Tintori denunció que Migración no la dejó entrar a Ecuador. ► http://ow.ly/N5ab309WHNd pic.twitter.com/epmh3RZWOH	Samantha Zuñiga
neutro	0.0	0.0	1.0	0.0	@ESPN_FDJ con los resultados de Uruguay y Ecuador, la Vinotinto queda fuera. Farias renuncia. De luto los seguidores venezolanos.	Jorge A. Hontoria C.
neutro	0.0	0.0	1.0	0.0	La vida es dura de los migrantes igual que los venezolanos en Ecuador https://twitter.com/lahistoriaec/status/1195114345895735301 …	MonalisaCiudadana
neutro	0.051	0.0	0.949	0.128	#SepaQue La Asociación Civil Venezolanos en Ecuador” brindó asistencia legal y social a cientos de  migrantes venezolanos que residen en Quito, en una “Mega-jornada solidaria” que piensa replicar próximamente http://bit.ly/2z5vqwK pic.twitter.com/s7BFMMJtuR	Efecto Cocuyo
neutro	0.0	0.0	1.0	0.0	[Video] Universidad de Ecuador investigó a inmigrantes venezolanos http://bit.ly/2wtQpKM	El Nacional
neutro	0.0	0.0	1.0	0.0	#24Oct Ecuador desmiente entrega de bonos a migrantes venezolanos https://bit.ly/32JHQI2  #ElInformadorVenezuela #ElInformadorVe #Venezuela #Noticia #Ecuador #Migrantes #MigrantesVenezolanos #Bono #LenínMoreno #LeninMoreno #SYGApic.twitter.com/f7BSZ06CCA	El Informador Venezuela
neutro	0.0	0.0	1.0	0.0	Países como Colombia, Perú y Ecuador son los más afectados por la migración venezolana https://konzapata.com/noticia/72670/katalejo/el-exodo-venezolano-tambien-es-un-problema-economico-para-america-latina.html … #FelizMiercoles  -	KonZapata.com
neutro	0.0	0.0	1.0	0.0	Migrantes venezolanos podrán entrar a Ecuador si tienen visa para un tercer país (Detalles) http://epmundo.com/2019/ecuador-da-un-permiso-especial-a-migrantes-venezolanos-enterese/ …pic.twitter.com/gLUFYL1J1A	EP | Venezuela
neutro	0.0	0.0	1.0	0.0	"""Gracias a Dios los Venezolanos quedamos muy bien.  Honestidad en esos inmigrantes.  En Ecuador."	unheilig
neutro	0.0	0.0	1.0	0.0	#25Oct  | Ecuador presentó detalles sobre visa humanitaria para migrantes venezolanos https://noticias24carabobo.com/visa-humanitaria-ecuador-migrantes-venezolanos/ … vía @n24_carabobo - Noticias de hoy en Venezuela y el mundo	Noticias 24 Carabobo
neutro	0.0	0.0	1.0	0.0	[]	"utm_campaign=ReviveOldPost"""" dir=""""ltr"""" href=""""https://t.co/QjwE4l1rBd"""" rel=""""nofollow noopener"""" target=""""_blank"""" title=""""http://noti-america.com/site/2019/10/19/minga-por-quito-sera-apoyada-por-inmigrantes-venezolanos-mientras-la-xenofobia-laboral-aumenta-6/?utm_source=ReviveOldPost&amp"
neutro	0.0	0.0	1.0	0.0	Ecuador exigirá visas a los migrantes venezolanos https://wp.me/paUDn7-1z5A pic.twitter.com/61WGpS3lCy	EXTRA VENEZUELA
neutro	0.0	0.0	1.0	0.0	#26Sep Ecuador activa registro de inmigrantes venezolanos http://bit.ly/2nEP7tb pic.twitter.com/0KCLwRzqnN	2001online
neutro	0.0	0.0	1.0	0.0	Gobierno de Ecuador iniciará proceso digital de visados para migrantes venezolanos https://elcooperante.com/gobierno-de-ecuador-iniciara-proceso-digital-de-visados-para-migrantes-venezolanos/ …	El Cooperante
neutro	0.098	0.0	0.902	0.34	"""#MigrantesenPerú |Desde que Perú y Ecuador impusieron sus respectivas visas humanitarias, el CEBAF se ha convertido en una suerte de campamento para migrantes venezolanos."	Mundo informativo
neutro	0.0	0.0	1.0	0.0	Ecuador, Perú y Chile acordaron crear un grupo técnico de trabajo para gestionar “una migración segura y ordenada” de los migrantes venezolanos, tras una reunión de representantes de los tres países en Quito, capital ecuatoriana http://bit.ly/2k2pXDe	El Pitazo
neutro	0.0	0.0	1.0	0.0	#VenezolanosGoHome Fuera los venezolanos que han venido a Ecuador a buscar trabajo y hablar mal de los que les dan de comer.	Fabricio Diaz
neutro	0.0	0.287	0.713	-0.7034	CRISIS HUMANITARIA: Ecuador se declara en emergencia para atender migración venezolana - Descifrado http://bit.ly/2vXPvDB  .	Descifrado
neutro	0.0	0.0	1.0	0.0	#AlMomento Incidentes en la frontera Ecuador Colombia, con migrantes Venezolanos.   https://twitter.com/Fran_Bolivar/status/1166363709566005255/video/1 …	Jesus Bernabe
neutro	0.0	0.0	1.0	0.0	Migrantes venezolanos utilizan vías alternas para ingresar de forma irregular a Ecuador. ► http://ow.ly/7gNz50vLTu6 pic.twitter.com/Uu9z8mFHb3	El Universo
